index,Plant_Name,Image_url
0,Apple,https://post.healthline.com/wp-content/uploads/2020/09/Do_Apples_Affect_Diabetes_and_Blood_Sugar_Levels-732x549-thumbnail-1-732x549.jpg
1,Grape,https://i.ndtvimg.com/i/2015-09/grapes_625x350_61443376353.jpg
2,Cherry,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/article_thumbnails/slideshows/health_benefits_of_cherries_slideshow/1800x1200_health_benefits_of_cherries_slideshow.jpg
3,Corn,https://www.agrifarming.in/wp-content/uploads/2015/04/Maize-Farming.jpg
4,Blueberry,https://www.supermarketperimeter.com/ext/resources/0430-blueberries.png
5,Orange,https://www.irishtimes.com/polopoly_fs/1.3923226.1560339148!/image/image.jpg_gen/derivatives/ratio_1x1_w1200/image.jpg
6,Peach,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/articles/health_tools/the_health_benefits_of_peaches_slideshow/thinkstock_rf_peaches.jpg
7,Pepper Bell,https://www.narayanahealth.org/blog/wp-content/uploads/2022/04/NH-Social-Media-Health-Nuggets-14-1.jpg
8,Potato,"https://m.economictimes.com/thumb/height-450,width-600,imgsize-111140,msid-72862126/potato-getty.jpg"
9,Raspberry,https://i0.wp.com/cdn-prod.medicalnewstoday.com/content/images/articles/326/326272/raspberries-with-ketones-in-a-bowl.jpg
10,Soybean,"https://m.economictimes.com/thumb/msid-66988154,width-1200,height-900,resizemode-4,imgsize-211276/soyabean-agencies.jpg"
11,Squash,https://post.healthline.com/wp-content/uploads/2020/08/squash-fruit-or-vegetable-732x549-thumbnail-732x549.jpg
12,Strawberry,https://images.indianexpress.com/2020/02/strawberry-1200.jpg
13,Tomato,https://images-prod.healthline.com/hlcmsresource/images/AN_images/tomatoes-1296x728-feature.jpg
14,Grape,https://i.ndtvimg.com/i/2015-09/grapes_625x350_61443376353.jpg
